category;position;description
Backend;Senior PHP Developer @; MySQL    PHP 7.1    Symfony    Bitbucket    Composer    Docker    Elasticsearch    RabbitMQ    Teamcity    English office language International Paid holidays with B2B contract Skiing weekend in Switzerland Clean code    PHP    SOLID    Unit testing    Continuous Integration    Design patterns mastery    Domain driven design    Bash    Infrastructure monitoring    Mobile app backend    REST API development    Symfony    English    Polish    Engaged in Warsaw PHP community Enjoys coding Lives in warsaw Plays cards against humanity
Backend;Senior Python Developer @; Golang    PHP7    Python    Code review Continuous Integration everyday standup, planning no dress code peer review code retrospective, 1-2 week sprints, dem... Scrum Django    Flask    Python    Golang    English    Additionally, we appreciate Elastics...
Backend;PHP Developer @; JSON    Laravel    PHP 7    Pixijs    Slim    Webpack    Angular.js    Bootstrap    CSS    Gulp    HTML    Javascript    Memcached    Node.js    Phraser    Redis    SASS    WebGL    Websockets    Lumen    Vue.js    flat structure R&D CSS    HTML5    JavaScript    Websockets    Angular.js    Pixijs    Webpack    Memcached    Node.js    Phaser    Redis    SASS    MySQL    English   
Backend;.NET Developer @; .NET    C#    MSSQL    Oracle    VB.NET    WPF    MVVN    PostgreSQL    .NET    MVVM    WPF    English   
Backend;Java Developer @; Elasticsearch    mysql    Spring framework    Hibernate    Java    lucene    memcached    Varnish ESI    Java    mysql    Spring framework    Elasticsearch    Hibernate    Recommendations engine    apache lucene    apache velocity    Map Reduce    memcached    Varnish    English    Polish   
Backend;Oracle DB Developer @; Oracle DBMS    PL/SQL    Oracle DBMS    PL/SQL    MicroStrategy    MS .Net    MS SQL    Pentaho    Polish    English   
Backend;Java Developer @; Guice    Java    Maven    Web Services    WebSphere8    XML    Scala    SQL    Java    Git    Maven    SQL    Web Services    Agile experience    Dependency Injection    Jenkins    WebSphere8    Polish    English   
Backend;Python Developer @; Django    PostgreSQL    Python    Celery    Django REST framework    HTTP protocol    MySQL    RESTful API    Amazon AWS    Ansible    Docker    Flask    MongoDB    Nginx    RabbitMQ    Redis    SQLite    Tornado    Agile Budget on education Dedicated DevOps/Admins Dedicated PMs, POs, SMs Flexible working hours Good atmosphere Real influence on the project Small teams Django    Python    SQL    RESTful API design    Linux    English   
Backend;Junior Java EE Software Developer @; HTML    Java    JSP    SQL    DB2    IBM Commerce    Javascript    REST    WebSphere Application Server    XML    Complex eCommerce projects International project & team Nordic working culture Unique working atmosphere Java    JSP    SQL    IBM Commerce    English    Eager to learn Team player Minimum 2 years of relevant experience
Backend;Java EE Software Developer @; Java    HTML    JSP    SQL    DB2    IBM Commerce    Javascript    REST    WebSphere Application Server    XML    Complex eCommerce projects International project & team Nordic working culture Unique working atmosphere Java    JSP    SQL    IBM Commerce    English    Eager to learn Team player Minimum 2 years of relevant experience
Backend;Node.js Developer @; Node.js    REST    SQL    TypeScript    AWS    MongoDB    direct contact with client free english lessons team behind Mobiconf conference chillout room with table soccer, pin... flexible working hours international team / projects possibility to spend two days a week... training budget (3000 PLN per year) unforgettable company trips EcmaScript 6    REST    TypeScript    Bacon.js    Functional programming    RxJS    Socket.io    Git    AWS    Jest    Mocha    SQL    Elasticsearch    MongoDB    English   
Backend;Senior PHP Developer @; MySQL    PHP 7.1    REST API    Amazon Web Services    Docker    Laravel    MongoDB    nginx    chillout room with table soccer, pin... direct contact with client flexible working hours international team / projects possibility to spend two days a week... team behind Mobiconf conference training budget (3000 PLN per year) unforgettable company trips design patterns    HTTP/REST API    Laravel    MySQL    PHP 7.1    Git / Mercurial    TDD    AWS    Docker    Elasticsearch    MongoDB    Redis    rabbitMQ    Shell scripting    English   
Backend;Java Developer @; Java    Spring    SQL    Webservices    Hibernate    Tomcat    SOLR    Close to subway Flexible hours Fruit thursdays Java    Spring    Hibernate    JDBC    Tomcat    Linux    JSON    REST    SOAP    Webservices    XML    SWAGGER    WSDL    Polish    English   
Backend;Senior Java Developer @; Java    Hibernate    JavaScript    MVC    Oracle SQL    Spring    Java    JavaScript    MVC    Oracle SQL    Spring    English   
Backend;Senior Software (Python, Django) Engineer @; Django    PostgreSQL    Python    JavaScript    A chance to build a large system fro... A creative work atmosphere and quick... Competitive compensation package No corporate nonsense, no stupid mee... PosgreSQL    Python    Django    JavaScript    Linux fundamentals    Configuration management ...    Experience with CI/CD    Information retrieval    Machine learning    Natural language processing    English   
Backend;Backend Scala Developer @; Scala    Akka    Cassandra    Elastic Search    Kafka    MongoDB    Play    RabbitMQ    Akka Cluster    Java    NodeJS    Python    Choose the right tool for the problem Constant learning Contract first Flat structure Flexible working hours Free fruits Functional programming Global clients Great location High quality Internal trainings Regular team events Table football Akka    Functional Programming    Microservices    NoSQL    Akka Cluster    Message Queue    Architecture    Blogging    Conference speaker    Machine Learning    Spark    English   
Backend;Software Engineer @;" Hybris    Java 7/8    Spring Core    Angular    guava    JSP    JUnit    Mockito    REST    Solr    Spring Integration    Spring MVC    Spring WS    swagger    tomcat    Apache    Cucumber    Groovy    Jackson    JAXB    JMeter    jQuery    MySQL / Percona    Oracle    Selenium    Spock    Spring Batch    wro4j    ZK Framework    atmosphere B2B as an option big and known customers experienced team no ""big bosses"" young team Java 7/8    Spring Core    Spring MVC    Hybris    JUnit    Mockito    Spring WS    Angular    JMeter    JSP    Solr    Spring Integration    English   "
Backend;Software Engineer @;" Hybris    Java 7/8    Spring Core    Angular    guava    JSP    JUnit    Mockito    REST    Solr    Spring Integration    Spring MVC    Spring WS    swagger    tomcat    Apache    Cucumber    Groovy    Jackson    JAXB    JMeter    jQuery    MySQL / Percona    Oracle    Selenium    Spock    Spring Batch    wro4j    ZK Framework    atmosphere B2B as an option big and known customers experienced team no ""big bosses"" young team Java 7/8    Spring Core    Spring MVC    Hybris    Spring Integration    JSP    JUnit    Mockito    Spring WS    Angular    JMeter    Solr    English   "
Backend;Team Lead Java Developer @; ESB    Fitnesse    Git    Gradle    Hibernate    IntelliJ    Java 8    JMS    JUnit    Maven    RMI    Spring    SQL    Swing    Web Services    E-learning platform Employment contract or B2B Flexible working hours Full SDLC Home office International teams No dress code Hibernate    Java 8    JUnit    Spring    Web Services    Git    Gradle    Maven    English    Polish   
Backend;C++/C# Developer @; C#    C++    Linux    MS Windows    STL    TCP/IP    Oracle PL/SQL    SQL    Java    Airlines Flat structure Flexible working hours Home office International environment No dresscode SaaS architecture C#    C++    STL    Linux    MS Windows    TCP/IP    SQL    Java    Jira    Oracle    English    Polish   
Backend;.NET Developer @; .NET 4.6.2    nHibernate    MSSQL    MVC 5    Angular 4.3    OWIN    WebApi    Xamarin    .NET    C#    MSSQL    Angular    AngularJS    Xamarin    Polish   
Backend;Java Developer @; Hibernate    Java 6-8    Jenkins    Spring    Akka    Camel    Gradle    JavaScript    Maven    WebLogic    Oracle    flat structure international team low-level bureaucracy trips to Denmark Engineering/Bachelor Tech...    good understanding of obj...    Java    Hibernate    Java EE    Spring    Git    JavaScript    English    soft-skills
Backend;Junior PHP Developer @; GIT    HTML5    Javascript    PHP    SASS    MySQL    Career growth Cut The Mustard in-house Packhelp (zapakuj.to) in-house Super office Fruits Wednesday CSS    HTML5    PHP    SASS    Gulp    Webpack    Grunt    Laravel    React.js    Symfony    English    Polish   
Backend;Senior C++ Developer @; C++    Linux    Self-driving vehicles    Android    CAN bus    Qt    RTOS    flat structure international project international team work with global technology leader C++    Linux    Android    Scrum    Advanced AI algorythms    CAN bus    Qt    RTOS    large projects experience    English    experience with international teams ... positive attitude strong communication skills very good English
Backend;Ruby on Rails Developer @; Amazon Web Services    Angular    CSS    HTML    Node.js    PostgreSQL    React    Ruby on Rails    Android    iOS    PHP    Symfony    PostgreSQL    React    Ruby on Rails    Amazon Web Services    English   
Backend;WooCommerce Plugin Developer @; GitLab    Slack    TestLink    Trello    WooCommerce    Scrum WooCommerce    WordPress Plugin API    Coding Standards DRY/SOLI...    Databases    GIT    HTML/Sass    JavaScript    PHP 7    Task runners (i.e. Grunt)    WordPress APIs    WP-CLI    JS framework    TDD    Contributes to opensource...    PM skills    SCRUM / Agile    Polish    English   
